member_id,prediction_date,feature_start_date,feature_end_date,label_start_date,label_end_date,status_at_prediction,past_active_days_7d,past_order_count_7d,future_active_days_7d
SYN_0001,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,1,7
SYN_0002,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,1,1
SYN_0003,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,1,1,0
SYN_0004,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,0,7
SYN_0005,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,0,0,0
SYN_0006,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,0,0,0
SYN_0007,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,disabled,1,0,0
SYN_0008,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,1,3
SYN_0009,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,2,3
SYN_0010,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,2,3
SYN_0011,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,0,0
SYN_0012,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,0,0
SYN_0013,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,5,2,1
SYN_0014,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,2,0
SYN_0015,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,6,2,3
SYN_0016,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,5,0,7
SYN_0017,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,0,1
SYN_0018,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,5,2,1
SYN_0019,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,5,2,4
SYN_0020,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,0,2
SYN_0021,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,6,0,3
SYN_0022,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,1,2
SYN_0023,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,2,1,4
SYN_0024,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,disabled,3,1,0
SYN_0025,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,3,1,0
SYN_0026,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,1,0,2
SYN_0027,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,1,0,0
SYN_0028,2026-06-01,2026-05-25,2026-05-31,2026-06-01,2026-06-07,valid,5,1,0
